participant_id,Label,GrayVol,SurfArea,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
28000047,rh_fusiform,8878.0,2772.0,2.794,0.606,0.131,0.03,47.0,4.7
28000047,rh_inferiorparietal,19090.0,6091.0,2.621,0.622,0.129,0.029,110.0,10.0
28000047,rh_inferiortemporal,11807.0,3068.0,2.99,0.737,0.129,0.03,50.0,5.3
28000047,rh_isthmuscingulate,3905.0,1209.0,2.598,0.947,0.119,0.029,20.0,1.9
28000047,rh_lateraloccipital,14649.0,5553.0,2.218,0.726,0.142,0.039,109.0,11.4
28000047,rh_lateralorbitofrontal,9388.0,2747.0,3.032,0.772,0.138,0.037,48.0,5.4
28000047,rh_lingual,9880.0,3958.0,2.24,0.62,0.147,0.038,74.0,8.1
28000047,rh_medialorbitofrontal,7073.0,2110.0,2.881,0.683,0.124,0.034,41.0,4.1
28000047,rh_middletemporal,15718.0,3872.0,3.017,0.74,0.129,0.028,69.0,6.2
28000047,rh_parahippocampal,1861.0,618.0,2.634,0.592,0.082,0.02,7.0,0.6
28000047,rh_paracentral,3606.0,1170.0,2.748,0.536,0.099,0.019,12.0,1.5
28000047,rh_parsopercularis,5386.0,1684.0,2.898,0.5,0.126,0.026,30.0,2.5
28000047,rh_parsorbitalis,3664.0,807.0,3.186,0.845,0.159,0.042,16.0,1.9
28000047,rh_parstriangularis,6367.0,1883.0,2.784,0.717,0.135,0.033,31.0,3.5
28000047,rh_pericalcarine,3534.0,1784.0,2.051,0.585,0.137,0.034,29.0,3.4
28000047,rh_postcentral,10827.0,4233.0,2.207,0.688,0.114,0.024,64.0,5.8
28000047,rh_posteriorcingulate,4124.0,1239.0,2.86,1.057,0.13,0.029,21.0,2.0
28000047,rh_precentral,13522.0,4522.0,2.574,0.612,0.111,0.022,53.0,5.9
28000047,rh_precuneus,15418.0,5040.0,2.645,0.658,0.12,0.027,76.0,7.9
28000047,rh_rostralanteriorcingulate,3033.0,782.0,3.319,0.683,0.139,0.033,17.0,1.4
28000047,rh_rostralmiddlefrontal,19278.0,5752.0,2.669,0.689,0.142,0.037,117.0,11.5
28000047,rh_superiorfrontal,20612.0,5993.0,2.947,0.577,0.118,0.028,81.0,9.2
28000047,rh_superiorparietal,16525.0,6455.0,2.232,0.55,0.128,0.031,110.0,11.5
28000047,rh_superiortemporal,13721.0,3724.0,3.005,0.611,0.108,0.021,49.0,4.9
28000047,rh_supramarginal,12456.0,3885.0,2.72,0.644,0.124,0.026,59.0,6.1
28000047,rh_frontalpole,1868.0,370.0,3.293,0.746,0.179,0.064,11.0,1.0
28000047,rh_temporalpole,2315.0,434.0,3.48,0.772,0.174,0.057,10.0,1.1
28000047,rh_transversetemporal,938.0,384.0,2.368,0.599,0.115,0.033,7.0,0.5
28000047,rh_insula,7460.0,2126.0,3.315,0.854,0.106,0.028,23.0,3.4
28000049,lh_bankssts,3097.0,1041.0,2.871,0.575,0.109,0.018,13.0,1.1
28000049,lh_caudalanteriorcingulate,2271.0,525.0,3.425,0.848,0.147,0.036,14.0,1.2
28000049,lh_caudalmiddlefrontal,7682.0,2147.0,3.036,0.624,0.126,0.025,40.0,3.4
28000049,lh_cuneus,3637.0,1374.0,2.293,0.625,0.159,0.046,33.0,3.9
28000049,lh_entorhinal,1687.0,320.0,3.164,0.773,0.114,0.03,7.0,0.6
28000049,lh_fusiform,8847.0,2413.0,3.022,0.725,0.129,0.027,48.0,3.7
28000049,lh_inferiorparietal,17003.0,4635.0,2.919,0.722,0.126,0.031,89.0,9.0
28000049,lh_inferiortemporal,12362.0,3065.0,3.233,0.809,0.136,0.04,76.0,6.8
28000049,lh_isthmuscingulate,3494.0,951.0,2.936,1.022,0.133,0.034,20.0,1.9
28000049,lh_lateraloccipital,13143.0,4374.0,2.387,0.693,0.143,0.039,108.0,10.0
28000049,lh_lateralorbitofrontal,7223.0,1882.0,3.176,0.764,0.142,0.043,42.0,5.0
28000049,lh_lingual,8168.0,2748.0,2.443,0.724,0.162,0.051,85.0,8.3
28000049,lh_medialorbitofrontal,5280.0,1553.0,2.911,0.94,0.129,0.05,40.0,4.5
28000049,lh_middletemporal,15665.0,3315.0,3.495,0.759,0.129,0.03,72.0,5.9
28000049,lh_parahippocampal,1421.0,436.0,2.843,0.771,0.098,0.018,5.0,0.4
28000049,lh_paracentral,3632.0,1020.0,2.93,0.741,0.115,0.024,12.0,1.4
28000049,lh_parsopercularis,5370.0,1438.0,3.091,0.543,0.117,0.022,23.0,1.7
28000049,lh_parsorbitalis,2369.0,495.0,3.292,0.774,0.138,0.037,15.0,0.9
28000049,lh_parstriangularis,4531.0,1165.0,3.154,0.616,0.112,0.024,17.0,1.7
28000049,lh_pericalcarine,2689.0,1476.0,1.919,0.541,0.133,0.031,22.0,2.6
28000049,lh_postcentral,12839.0,3962.0,2.614,0.778,0.116,0.028,80.0,7.3
28000049,lh_posteriorcingulate,3968.0,1028.0,3.105,1.142,0.145,0.037,28.0,1.8
28000049,lh_precentral,13239.0,4199.0,2.795,0.565,0.102,0.018,55.0,4.6
28000049,lh_precuneus,11713.0,3703.0,2.809,0.802,0.124,0.032,67.0,7.3
28000049,lh_rostralanteriorcingulate,2936.0,641.0,3.647,0.782,0.139,0.037,18.0,1.3
28000049,lh_rostralmiddlefrontal,17425.0,4635.0,3.025,0.628,0.138,0.039,111.0,11.0
28000049,lh_superiorfrontal,21098.0,5114.0,3.322,0.699,0.13,0.034,96.0,9.9
28000049,lh_superiorparietal,17771.0,5797.0,2.487,0.748,0.128,0.035,131.0,12.3
28000049,lh_superiortemporal,13502.0,3305.0,3.356,0.766,0.107,0.022,52.0,4.8
28000049,lh_supramarginal,15225.0,4123.0,3.013,0.696,0.12,0.026,74.0,6.4
28000049,lh_frontalpole,1254.0,208.0,3.337,0.898,0.19,0.08,12.0,1.0
28000049,lh_temporalpole,2722.0,389.0,3.883,0.858,0.18,0.073,11.0,1.5
28000049,lh_transversetemporal,1342.0,383.0,3.435,0.706,0.144,0.025,9.0,0.5
28000049,lh_insula,7372.0,1818.0,3.656,0.905,0.114,0.04,30.0,4.2
28000049,rh_bankssts,3004.0,897.0,3.349,0.561,0.097,0.014,6.0,0.8
28000049,rh_caudalanteriorcingulate,1295.0,425.0,3.248,0.628,0.132,0.021,9.0,0.5
28000049,rh_caudalmiddlefrontal,6297.0,1821.0,2.814,0.686,0.118,0.026,30.0,2.8
28000049,rh_cuneus,4399.0,1377.0,2.334,0.583,0.157,0.043,44.0,3.1
28000049,rh_entorhinal,1479.0,296.0,3.162,0.841,0.114,0.035,4.0,0.6
28000049,rh_fusiform,8273.0,2364.0,2.998,0.645,0.128,0.029,51.0,4.0
28000049,rh_inferiorparietal,25961.0,6677.0,3.029,0.713,0.13,0.032,141.0,12.1
28000049,rh_inferiortemporal,14576.0,3279.0,3.379,0.782,0.124,0.03,67.0,5.6
28000049,rh_isthmuscingulate,4064.0,998.0,2.953,0.954,0.135,0.035,24.0,2.0
28000049,rh_lateraloccipital,12733.0,4071.0,2.654,0.645,0.15,0.041,105.0,10.1
28000049,rh_lateralorbitofrontal,7659.0,1977.0,3.131,0.717,0.133,0.041,40.0,4.6
28000049,rh_lingual,7206.0,2207.0,2.623,0.751,0.142,0.036,48.0,4.8
28000049,rh_medialorbitofrontal,5826.0,1396.0,3.45,0.745,0.143,0.044,41.0,3.1
28000049,rh_middletemporal,16497.0,3668.0,3.364,0.684,0.13,0.035,87.0,7.3
28000049,rh_parahippocampal,1574.0,466.0,2.91,0.636,0.096,0.02,5.0,0.4
28000049,rh_paracentral,4176.0,1166.0,3.11,0.635,0.111,0.021,15.0,1.5
28000049,rh_parsopercularis,3081.0,968.0,2.853,0.459,0.103,0.024,14.0,1.0
28000049,rh_parsorbitalis,2945.0,662.0,3.353,0.806,0.145,0.039,21.0,1.4
28000049,rh_parstriangularis,4569.0,1197.0,2.968,0.7,0.111,0.025,18.0,1.6
28000049,rh_pericalcarine,3018.0,1472.0,2.137,0.568,0.139,0.036,27.0,2.7
28000049,rh_postcentral,10811.0,3433.0,2.607,0.737,0.122,0.031,71.0,6.1
28000049,rh_posteriorcingulate,3338.0,964.0,2.942,0.882,0.126,0.026,17.0,1.4
28000049,rh_precentral,11961.0,3968.0,2.627,0.571,0.11,0.025,59.0,5.6
28000049,rh_precuneus,11880.0,3502.0,2.996,0.777,0.131,0.035,67.0,7.2
28000049,rh_rostralanteriorcingulate,1815.0,345.0,3.599,0.85,0.128,0.026,8.0,0.5
28000049,rh_rostralmiddlefrontal,21190.0,5559.0,3.04,0.659,0.13,0.036,121.0,11.6
28000049,rh_superiorfrontal,20748.0,5166.0,3.271,0.651,0.128,0.034,97.0,10.1
28000049,rh_superiorparietal,14832.0,4537.0,2.643,0.669,0.133,0.035,99.0,9.4
28000049,rh_superiortemporal,13713.0,3265.0,3.268,0.656,0.104,0.019,42.0,4.3
28000049,rh_supramarginal,10820.0,3081.0,2.998,0.671,0.121,0.026,59.0,4.8
28000049,rh_frontalpole,1772.0,263.0,3.961,0.557,0.189,0.066,10.0,1.1
28000049,rh_temporalpole,2399.0,343.0,3.668,0.831,0.174,0.08,10.0,1.8
28000049,rh_transversetemporal,898.0,286.0,3.228,0.514,0.12,0.023,7.0,0.4
28000049,rh_insula,6805.0,1870.0,3.374,0.934,0.117,0.036,31.0,4.2
28000050,lh_bankssts,2502.0,911.0,2.704,0.488,0.103,0.019,12.0,1.1
28000050,lh_caudalanteriorcingulate,1712.0,538.0,2.745,0.714,0.112,0.019,7.0,0.7
28000050,lh_caudalmiddlefrontal,8882.0,2444.0,2.949,0.625,0.116,0.025,40.0,3.2
28000050,lh_cuneus,5077.0,1786.0,2.456,0.629,0.148,0.036,41.0,3.7
28000050,lh_entorhinal,1695.0,383.0,2.962,1.106,0.15,0.065,11.0,1.9
28000050,lh_fusiform,11314.0,3111.0,3.156,0.678,0.113,0.024,45.0,4.5
28000050,lh_inferiorparietal,16846.0,4666.0,3.008,0.646,0.112,0.025,66.0,6.6
28000050,lh_inferiortemporal,11451.0,2826.0,3.249,0.823,0.118,0.025,45.0,4.2
28000050,lh_isthmuscingulate,3998.0,1138.0,2.75,1.017,0.127,0.03,20.0,1.9
28000050,lh_lateraloccipital,15028.0,5442.0,2.382,0.715,0.129,0.033,98.0,10.4
28000050,lh_lateralorbitofrontal,8939.0,2457.0,3.236,0.682,0.127,0.032,45.0,4.8
28000050,lh_lingual,9130.0,3234.0,2.464,0.625,0.144,0.039,60.0,7.0
28000050,lh_medialorbitofrontal,6526.0,1903.0,2.956,0.692,0.115,0.027,32.0,2.7
28000050,lh_middletemporal,13665.0,3100.0,3.269,0.734,0.117,0.027,55.0,4.8
28000050,lh_parahippocampal,1833.0,619.0,2.596,0.605,0.076,0.017,4.0,0.5
